,epoch,x,y
359,1,159,112
360,1,160,95
361,1,161,111
362,1,162,89
363,1,163,86
364,1,164,84
365,1,165,119
366,1,166,99
367,1,167,92
368,1,168,106
369,1,169,103
370,1,170,89
371,1,171,108
372,1,172,103
373,1,173,104
374,1,174,101
375,1,175,106
376,1,176,94
377,1,177,112
378,1,178,103
379,1,179,98
380,1,180,113
381,1,181,106
382,1,182,114
383,1,183,96
384,1,184,121
385,1,185,108
386,1,186,110
387,1,187,112
388,1,188,116
389,1,189,121
390,1,190,124
391,1,191,112
392,1,192,107
393,1,193,102
394,1,194,116
395,1,195,108
396,1,196,104
397,1,197,120
398,1,198,111
399,1,199,112
400,2,0,7
401,2,1,8
402,2,2,10
403,2,3,7
404,2,4,10
405,2,5,5
406,2,6,9
407,2,7,15
408,2,8,12
409,2,9,16
410,2,10,14
411,2,11,16
412,2,12,12
413,2,13,13
414,2,14,13
415,2,15,16
416,2,16,16
417,2,17,25
418,2,18,17
419,2,19,17
420,2,20,24
421,2,21,21
422,2,22,18
423,2,23,19
424,2,24,25
425,2,25,27
426,2,26,26
427,2,27,27
428,2,28,22
429,2,29,27
430,2,30,21
431,2,31,23
432,2,32,20
433,2,33,23
434,2,34,28
435,2,35,34
436,2,36,33
437,2,37,33
438,2,38,36
439,2,39,31
440,2,40,28
441,2,41,27
442,2,42,23
443,2,43,29
444,2,44,27
445,2,45,39
446,2,46,41
447,2,47,33
448,2,48,32
449,2,49,37
450,2,50,38
451,2,51,36
452,2,52,42
453,2,53,28
454,2,54,37
455,2,55,39
456,2,56,42
457,2,57,42
458,2,58,43
459,2,59,32
460,2,60,47
461,2,61,39
462,2,62,47
463,2,63,49
464,2,64,41
465,2,65,45
466,2,66,44
467,2,67,44
468,2,68,44
469,2,69,36
470,2,70,42
471,2,71,44
472,2,72,41
473,2,73,59
474,2,74,51
475,2,75,46
476,2,76,60
477,2,77,60
478,2,78,40
479,2,79,61
480,2,80,49
481,2,81,46
482,2,82,54
483,2,83,50
484,2,84,57
485,2,85,59
486,2,86,45
487,2,87,59
488,2,88,58
489,2,89,47
490,2,90,41
491,2,91,58
492,2,92,50
493,2,93,59
494,2,94,57
495,2,95,49
496,2,96,73
497,2,97,67
498,2,98,67
499,2,99,76
500,2,100,59
501,2,101,64
502,2,102,59
503,2,103,65
504,2,104,63
505,2,105,61
506,2,106,56
507,2,107,58
508,2,108,63
509,2,109,62
510,2,110,85
511,2,111,62
512,2,112,76
513,2,113,68
514,2,114,65
515,2,115,58
516,2,116,84
517,2,117,78
518,2,118,64
519,2,119,74
520,2,120,70
521,2,121,89
522,2,122,62
523,2,123,79
524,2,124,71
525,2,125,84
526,2,126,66
527,2,127,76
528,2,128,73
529,2,129,79
530,2,130,73
531,2,131,83
532,2,132,80
533,2,133,66
534,2,134,71
535,2,135,73
536,2,136,70
537,2,137,79
538,2,138,72
539,2,139,77
540,2,140,90
541,2,141,80
542,2,142,92
543,2,143,80
544,2,144,84
545,2,145,86
546,2,146,93
547,2,147,74
548,2,148,99
549,2,149,105
550,2,150,90
551,2,151,100
552,2,152,97
553,2,153,77
554,2,154,87
555,2,155,97
556,2,156,116
557,2,157,81
558,2,158,97
559,2,159,86
560,2,160,107
561,2,161,81
562,2,162,90
563,2,163,96
564,2,164,97
565,2,165,101
566,2,166,94
567,2,167,105
568,2,168,90
569,2,169,89
570,2,170,62
571,2,171,114
572,2,172,109
573,2,173,111
574,2,174,93
575,2,175,88
576,2,176,13
577,2,177,100
578,2,178,92
579,2,179,111
580,2,180,95
581,2,181,105
582,2,182,107
583,2,183,101
584,2,184,103
585,2,185,114
586,2,186,108
587,2,187,95
588,2,188,103
589,2,189,96
590,2,190,94
591,2,191,114
592,2,192,103
593,2,193,100
594,2,194,103
595,2,195,109
596,2,196,110
597,2,197,97
598,2,198,121
599,2,199,116
600,3,0,5
601,3,1,5
602,3,2,7
603,3,3,8
604,3,4,8
605,3,5,9
606,3,6,9
607,3,7,14
608,3,8,9
609,3,9,12
610,3,10,8
611,3,11,14
612,3,12,12
613,3,13,15
614,3,14,13
615,3,15,12
616,3,16,17
617,3,17,11
618,3,18,21
619,3,19,19
620,3,20,19
621,3,21,24
622,3,22,18
623,3,23,24
624,3,24,26
625,3,25,22
626,3,26,22
627,3,27,22
628,3,28,19
629,3,29,27
630,3,30,26
631,3,31,25
632,3,32,23
633,3,33,28
634,3,34,20
635,3,35,24
636,3,36,21
637,3,37,26
638,3,38,36
639,3,39,29
640,3,40,33
641,3,41,30
642,3,42,32
643,3,43,31
644,3,44,30
645,3,45,34
646,3,46,34
647,3,47,38
648,3,48,33
649,3,49,40
650,3,50,34
651,3,51,45
652,3,52,41
653,3,53,35
654,3,54,35
655,3,55,36
656,3,56,44
657,3,57,41
658,3,58,40
659,3,59,50
660,3,60,45
661,3,61,40
662,3,62,40
663,3,63,42
664,3,64,45
665,3,65,48
666,3,66,43
667,3,67,40
668,3,68,46
669,3,69,40
670,3,70,46
671,3,71,39
672,3,72,72
673,3,73,44
674,3,74,46
675,3,75,52
676,3,76,54
677,3,77,48
678,3,78,57
679,3,79,62
680,3,80,50
681,3,81,50
682,3,82,48
683,3,83,50
684,3,84,58
685,3,85,62
686,3,86,55
687,3,87,58
688,3,88,60
689,3,89,64
690,3,90,61
691,3,91,56
692,3,92,60
693,3,93,66
694,3,94,54
695,3,95,55
696,3,96,66
697,3,97,53
698,3,98,62
699,3,99,57
700,3,100,59
701,3,101,62
702,3,102,64
703,3,103,68
704,3,104,56
705,3,105,56
706,3,106,70
707,3,107,74
708,3,108,73
709,3,109,60
710,3,110,71
711,3,111,70
712,3,112,78
713,3,113,73
714,3,114,70
715,3,115,5
